timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-11-27 04:07:26.429381,MathExpert,o3-mini,6267,3516,9783,0.0
2025-11-27 04:07:46.131012,OnlineRetrieverExpert,gpt-4.1-mini,2514,430,2944,0.0
2025-11-27 04:07:50.465994,MathExpert,o3-mini,5949,606,6555,0.0
2025-11-27 04:07:54.097847,LiteratureReviewExpert,gpt-4.1-mini,3754,555,4309,0.0
2025-11-27 04:08:13.532811,MathExpert,o3-mini,6859,495,7354,0.0
2025-11-27 04:08:56.644203,DiscoveryScientist,gpt-4.1,44467,3559,48026,182.14296507835388
2025-11-27 04:09:28.699572,ModelerScientist,gpt-4.1,36682,1624,38306,0.0
2025-11-27 04:10:33.114038,NetworkScientist,gpt-4.1,45314,3709,49023,0.0
2025-11-27 04:12:00.668952,ParameterScientist,gpt-4.1,61816,3062,64878,0.0
2025-11-27 04:17:56.288553,Vision Expert,gpt-4.1-mini,5160,876,6036,0.0
2025-11-27 04:18:03.139260,SimulationScientist,gpt-4.1,238175,11164,249339,0.0
2025-11-27 04:19:10.453601,Vision Expert,gpt-4.1-mini,5208,1320,6528,0.0
2025-11-27 04:19:15.390856,DataExpert,gpt-4.1-mini,7971,1382,9353,0.0
2025-11-27 04:20:33.361061,DataScientist,gpt-4.1,25500,3528,57907,0.0
