timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-12-12 19:44:32.040808,MathExpert,o3-mini,2704,885,3589,0.0
2025-12-12 19:44:51.570489,LiteratureReviewExpert,gpt-4.1-mini,4250,1188,5438,0.0
2025-12-12 19:44:51.903259,MathExpert,o3-mini,7726,1232,8958,0.0
2025-12-12 19:45:06.954463,MathExpert,o3-mini,4757,875,5632,0.0
2025-12-12 19:45:17.606663,MathExpert,o3-mini,5335,655,5990,0.0
2025-12-12 19:45:34.603439,MathExpert,o3-mini,5882,582,6464,0.0
2025-12-12 19:46:07.452022,DiscoveryScientist,gpt-4.1,62296,3442,65738,163.14544224739075
2025-12-12 19:46:48.090103,ModelerScientist,gpt-4.1,41537,1877,43414,0.0
2025-12-12 19:49:14.053995,NetworkScientist,gpt-4.1,29277,6023,35300,0.0
2025-12-12 19:50:08.224300,ParameterScientist,gpt-4.1,66295,4305,70600,0.0
2025-12-12 19:52:11.916433,Vision Expert,gpt-4.1-mini,6191,691,6882,0.0
2025-12-12 19:52:15.107770,SimulationScientist,gpt-4.1,69390,6117,75507,0.0
2025-12-12 19:53:41.539780,Vision Expert,gpt-4.1-mini,1234,368,1602,0.0
2025-12-12 19:53:44.008566,Vision Expert,gpt-4.1-mini,2906,433,3339,0.0
2025-12-12 19:53:46.154963,Vision Expert,gpt-4.1-mini,2903,459,3362,0.0
2025-12-12 19:54:00.739511,DataExpert,gpt-4.1-mini,12010,1718,13728,0.0
2025-12-12 19:54:01.505363,DataExpert,gpt-4.1-mini,7279,1328,22335,0.0
2025-12-12 19:54:08.001562,DataExpert,gpt-4.1-mini,11014,1975,35324,0.0
2025-12-12 19:55:49.974512,DataScientist,gpt-4.1,33411,4298,37709,0.0
