timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-12-11 05:43:30.750461,MathExpert,o3-mini,1812,623,2435,0.0
2025-12-11 05:43:54.203029,OnlineRetrieverExpert,gpt-4.1-mini,4385,675,5060,0.0
2025-12-11 05:44:01.744722,LiteratureReviewExpert,gpt-4.1-mini,9395,878,10273,0.0
2025-12-11 05:44:38.838553,MathExpert,o3-mini,6108,287,6395,0.0
2025-12-11 05:45:07.114848,DiscoveryScientist,gpt-4.1,34666,3094,37760,152.77068996429443
2025-12-11 05:45:47.489234,ModelerScientist,gpt-4.1,23863,1605,25468,0.0
2025-12-11 05:46:17.148935,NetworkScientist,gpt-4.1,16007,3408,19415,0.0
2025-12-11 05:47:03.213534,ParameterScientist,gpt-4.1,20919,1902,22821,0.0
2025-12-11 05:49:30.261812,Vision Expert,gpt-4.1-mini,1138,585,1723,0.0
2025-12-11 05:50:10.131757,SimulationScientist,gpt-4.1,117570,8726,126296,0.0
2025-12-11 05:50:42.371263,Vision Expert,gpt-4.1-mini,1330,268,1598,0.0
2025-12-11 05:51:21.355937,DataExpert,gpt-4.1-mini,15659,2636,18295,0.0
2025-12-11 05:52:28.884177,DataScientist,gpt-4.1,23807,3302,27109,0.0
