timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-11-15 01:45:56.417059,LiteratureReviewExpert,gpt-4.1-mini,3496,744,4240,0.0
2025-11-15 01:46:40.561368,MathExpert,o4-mini,2239,1228,3467,0.0
2025-11-15 01:47:01.683940,OnlineRetrieverExpert,gpt-4.1-mini,5001,813,5814,0.0
2025-11-15 01:47:27.138476,DiscoveryScientist,gpt-4.1-mini,19332,2137,21469,109.94419884681702
2025-11-15 01:48:03.216528,ModelerScientist,gpt-4.1,13237,568,20044,0.0
2025-11-15 01:49:09.926294,NetworkScientist,gpt-4.1,28471,4710,39898,0.0
2025-11-15 01:51:41.250794,ParameterScientist,gpt-4.1,77501,8893,95074,0.0
2025-11-15 02:21:05.377748,Vision Expert,gpt-4.1-mini,115455,561,116016,0.0
2025-11-15 02:21:13.459932,SimulationScientist,gpt-4.1,282149,21841,303990,0.0
2025-11-15 02:22:46.477229,Vision Expert,gpt-4.1-mini,38087,1471,39558,0.0
2025-11-15 02:23:04.387986,DataExpert,gpt-4.1-mini,25967,3166,29133,0.0
2025-11-15 02:24:01.638939,DataScientist,gpt-4.1,25003,4039,56206,0.0
