timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-11-16 17:06:22.253084,LiteratureReviewExpert,gpt-4.1-mini,4113,779,4892,0.0
2025-11-16 17:06:25.472785,OnlineRetrieverExpert,gpt-4.1-mini,2974,529,3503,0.0
2025-11-16 17:07:08.337695,MathExpert,o3,2097,1043,3140,0.0
2025-11-16 17:07:53.110867,DiscoveryScientist,gpt-4.1,11259,1671,12930,133.34443593025208
2025-11-16 17:08:39.433447,ModelerScientist,gpt-4.1,19184,1465,25930,0.0
2025-11-16 17:09:31.344162,NetworkScientist,gpt-4.1,30553,2683,39127,0.0
2025-11-16 17:11:04.891639,ParameterScientist,gpt-4.1,75876,4423,88075,0.0
2025-11-16 17:18:09.452562,MathExpert,gpt-5.1,5393,1187,6580,0.0
2025-11-16 17:31:16.006193,Vision Expert,gpt-4.1-mini,7463,594,8057,0.0
2025-11-16 17:31:20.429652,SimulationScientist,gpt-4.1,270969,25121,296090,0.0
2025-11-16 17:32:17.008724,Vision Expert,gpt-4.1-mini,4059,821,4880,0.0
2025-11-16 17:32:18.774427,Vision Expert,gpt-4.1-mini,4059,1029,5088,0.0
2025-11-16 17:32:46.568050,DataExpert,gpt-4.1-mini,26875,2799,29674,0.0
2025-11-16 17:32:52.181027,DataExpert,gpt-4.1-mini,18853,3151,51678,0.0
2025-11-16 17:33:46.536951,DataScientist,gpt-4.1,24856,3939,56912,0.0
