timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-11-27 21:42:54.834954,OnlineRetrieverExpert,gpt-4.1-mini,14681,1644,16325,0.0
2025-11-27 21:43:11.916400,MathExpert,o3-mini,2263,993,3256,0.0
2025-11-27 21:43:29.649015,DiscoveryScientist,gpt-4.1,23786,2281,26067,100.42882895469666
2025-11-27 21:43:49.725538,ModelerScientist,gpt-4.1,28026,1704,29730,0.0
2025-11-27 21:46:03.977576,NetworkScientist,gpt-4.1,41225,4741,45966,0.0
2025-11-27 21:46:58.865889,ParameterScientist,gpt-4.1,51055,4184,55239,0.0
2025-11-27 21:53:04.227737,Vision Expert,gpt-4.1-mini,12690,596,13286,0.0
2025-11-27 21:53:07.920734,SimulationScientist,gpt-4.1,198600,8574,207174,0.0
2025-11-27 21:53:56.196285,Vision Expert,gpt-4.1-mini,12676,1240,13916,0.0
2025-11-27 21:54:39.254927,DataExpert,gpt-4.1-mini,57721,4056,61777,0.0
2025-11-27 21:55:14.800409,DataScientist,gpt-4.1,46470,4740,51210,0.0
