timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-12-12 20:16:22.589529,MathExpert,o3-mini,1456,690,2146,0.0
2025-12-12 20:17:14.989968,MathExpert,o3-mini,3276,711,3987,0.0
2025-12-12 20:17:38.953229,LiteratureReviewExpert,gpt-4.1-mini,4760,1668,6428,0.0
2025-12-12 20:17:53.978289,MathExpert,o3-mini,16047,2847,18894,0.0
2025-12-12 20:18:11.205763,MathExpert,o3-mini,7182,861,8043,0.0
2025-12-12 20:18:37.014288,DiscoveryScientist,gpt-4.1,49778,3646,53424,181.23345804214478
2025-12-12 20:19:20.334368,ModelerScientist,gpt-4.1,46124,2011,48135,0.0
2025-12-12 20:21:17.309229,NetworkScientist,gpt-4.1,30754,5314,36068,0.0
2025-12-12 20:22:05.102855,ParameterScientist,gpt-4.1,36399,3650,40049,0.0
2025-12-12 20:24:28.659773,Vision Expert,gpt-4.1-mini,6704,800,7504,0.0
2025-12-12 20:25:08.696360,SimulationScientist,gpt-4.1,159863,11767,171630,0.0
2025-12-12 20:26:33.253443,Vision Expert,gpt-4.1-mini,1094,375,1469,0.0
2025-12-12 20:26:33.323045,Vision Expert,gpt-4.1-mini,1110,401,1511,0.0
2025-12-12 20:26:36.577126,Vision Expert,gpt-4.1-mini,2886,408,3294,0.0
2025-12-12 20:26:37.565032,Vision Expert,gpt-4.1-mini,2883,507,3390,0.0
2025-12-12 20:26:53.537195,DataExpert,gpt-4.1-mini,11287,2253,13540,0.0
2025-12-12 20:26:59.088373,DataExpert,gpt-4.1-mini,27142,2704,43386,0.0
2025-12-12 20:27:03.279918,DataExpert,gpt-4.1-mini,22989,3158,69533,0.0
2025-12-12 20:27:17.294488,DataExpert,gpt-4.1-mini,31705,4501,105739,0.0
2025-12-12 20:28:18.168337,DataScientist,gpt-4.1,35387,4325,39712,0.0
