timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-12-06 15:08:02.908044,LLM-as-Classifier,gpt-5-mini,4266,940,5206,15.976532936096191
2025-12-06 15:08:41.885924,LLM-as-Classifier,gpt-5-mini,4015,891,4906,38.906532764434814
2025-12-06 15:09:05.330708,LLM-as-Classifier,gpt-5-mini,2161,1729,3890,23.389939069747925
2025-12-06 15:09:23.942710,LLM-as-Classifier,gpt-5-mini,4427,1231,5658,18.5865478515625
2025-12-06 15:09:37.133337,LLM-as-Classifier,gpt-5-mini,3484,623,4107,13.168415784835815
2025-12-06 15:10:44.857663,LLM-as-Classifier,gpt-5-mini,4006,1510,5516,67.69939613342285
2025-12-06 15:11:00.170384,LLM-as-Classifier,gpt-5-mini,4154,892,5046,15.290799140930176
2025-12-06 15:11:26.776342,LLM-as-Classifier,gpt-5-mini,3572,1595,5167,26.58631205558777
2025-12-06 15:11:49.289990,LLM-as-Classifier,gpt-5-mini,2040,1745,3785,22.499873876571655
2025-12-06 15:12:22.525645,LLM-as-Classifier,gpt-5-mini,3353,2288,5641,33.21400284767151
2025-12-06 15:12:46.822055,LLM-as-Classifier,gpt-5-mini,3923,1864,5787,24.27528691291809
2025-12-06 15:13:17.647397,LLM-as-Classifier,gpt-5-mini,4074,2011,6085,30.80526304244995
2025-12-06 15:13:46.384637,LLM-as-Classifier,gpt-5-mini,3496,1889,5385,28.71343684196472
2025-12-06 15:14:17.785925,LLM-as-Classifier,gpt-5-mini,3898,2406,6304,31.378983974456787
2025-12-06 15:14:41.756225,LLM-as-Classifier,gpt-5-mini,2469,1719,4188,23.948806047439575
2025-12-06 15:15:04.635987,LLM-as-Classifier,gpt-5-mini,3813,1514,5327,22.860905170440674
2025-12-06 15:15:25.195886,LLM-as-Classifier,gpt-5-mini,2256,1374,3630,20.53618574142456
2025-12-06 15:15:51.449634,LLM-as-Classifier,gpt-5-mini,3621,1501,5122,26.233867168426514
2025-12-06 15:16:03.328921,LLM-as-Classifier,gpt-5-mini,4291,722,5013,11.857842206954956
2025-12-06 15:16:20.985133,LLM-as-Classifier,gpt-5-mini,2350,818,3168,17.63490891456604
