timestamp,Agent-Name,LLM,request_tokens,response_tokens,total_tokens,time
2025-07-05 17:39:43.482503,OnlineRetrieverExpert,gpt-4.1-mini,5939,521,6460,0.0
2025-07-05 17:39:45.448225,OnlineRetrieverExpert,gpt-4.1-mini,3780,347,4127,0.0
2025-07-05 17:40:14.440671,MathExpert,o3-mini,2009,517,5714,0.0
2025-07-05 17:40:38.170366,DiscoveryScientist,gpt-4.1,19213,1433,26486,0.0
2025-07-05 17:41:00.534179,ModelerScientist,gpt-4.1,9768,344,14712,0.0
2025-07-05 17:41:19.679869,NetworkScientist,gpt-4.1,12218,2045,19333,0.0
2025-07-05 17:41:47.105333,ParameterScientist,gpt-4.1,23085,1558,30874,0.0
2025-07-05 17:43:47.570307,SimulationScientist,gpt-4.1,74156,5530,79686,0.0
2025-07-05 17:45:21.854440,DataExpert,gpt-4.1-mini,8717,1705,10422,0.0
2025-07-05 17:45:23.120270,DataExpert,gpt-4.1-mini,10694,1881,22997,0.0
2025-07-05 17:45:27.769087,DataExpert,gpt-4.1-mini,12528,2168,37693,0.0
2025-07-05 17:45:55.270845,DataScientist,gpt-4.1,21161,2374,46653,0.0
