timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-11-29 14:09:16.575408,LiteratureReviewExpert,gpt-4.1-mini,3936,1103,5039,0.0
2025-11-29 14:09:17.101869,LiteratureReviewExpert,gpt-4.1-mini,5131,946,6077,0.0
2025-11-29 14:09:40.573963,MathExpert,o3-mini,1017,714,1731,0.0
2025-11-29 14:10:01.216828,MathExpert,o3-mini,1900,876,2776,0.0
2025-11-29 14:10:30.854923,DiscoveryScientist,gpt-4.1,44162,3843,48005,111.97599411010742
2025-11-29 14:11:17.870136,ModelerScientist,gpt-4.1,37474,3346,40820,0.0
2025-11-29 14:11:48.906321,NetworkScientist,gpt-4.1,139547,4006,143553,0.0
2025-11-29 14:13:05.552677,ParameterScientist,gpt-4.1,53758,4000,57758,0.0
2025-11-29 14:18:18.750028,Vision Expert,gpt-4.1-mini,15184,845,16029,0.0
2025-11-29 14:18:22.592579,SimulationScientist,gpt-4.1,181743,8963,190706,0.0
2025-11-29 14:18:58.443907,Vision Expert,gpt-4.1-mini,2856,203,3059,0.0
2025-11-29 14:18:58.925449,Vision Expert,gpt-4.1-mini,2867,208,3075,0.0
2025-11-29 14:18:59.007572,Vision Expert,gpt-4.1-mini,2871,259,3130,0.0
2025-11-29 14:18:59.460909,Vision Expert,gpt-4.1-mini,2870,311,3181,0.0
2025-11-29 14:18:59.977941,Vision Expert,gpt-4.1-mini,2910,360,3270,0.0
2025-11-29 14:19:00.216846,Vision Expert,gpt-4.1-mini,2870,389,3259,0.0
2025-11-29 14:19:10.434550,DataExpert,gpt-4.1-mini,4387,1037,5424,0.0
2025-11-29 14:19:10.758154,DataExpert,gpt-4.1-mini,4656,1068,11148,0.0
2025-11-29 14:19:12.535642,DataExpert,gpt-4.1-mini,7888,1248,20284,0.0
2025-11-29 14:19:13.514534,DataExpert,gpt-4.1-mini,6803,1314,28401,0.0
2025-11-29 14:19:18.636984,DataExpert,gpt-4.1-mini,9455,1575,39431,0.0
2025-11-29 14:19:19.401695,DataExpert,gpt-4.1-mini,12034,1610,53075,0.0
2025-11-29 14:19:51.556515,DataScientist,gpt-4.1,51950,5075,57025,0.0
