timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-12-15 20:04:04.381005,LiteratureReviewExpert,gpt-4.1-mini,4326,1202,5528,0.0
2025-12-15 20:04:29.668997,LiteratureReviewExpert,gpt-4.1-mini,11746,1019,12765,0.0
2025-12-15 20:04:41.574702,MathExpert,o3-mini,1879,675,2554,0.0
2025-12-15 20:05:08.407072,DiscoveryScientist,gpt-4.1,30010,3019,33029,108.18171525001526
2025-12-15 20:06:22.746883,NetworkScientist,gpt-4.1,14540,2526,17066,0.0
2025-12-15 20:06:33.092320,ModelerScientist,gpt-4.1,30829,2779,33608,0.0
2025-12-15 20:08:26.011146,ParameterScientist,gpt-4.1,91546,5723,97269,0.0
2025-12-15 20:22:02.667119,Vision Expert,gpt-4.1-mini,27438,1378,28816,0.0
2025-12-15 20:22:09.765609,SimulationScientist,gpt-4.1,353843,19050,372893,0.0
2025-12-15 20:24:13.623778,Vision Expert,gpt-4.1-mini,27546,1715,29261,0.0
2025-12-15 20:24:42.360939,DataExpert,gpt-4.1-mini,25532,3921,29453,0.0
2025-12-15 20:24:57.655959,DataExpert,gpt-4.1-mini,39448,793,69694,0.0
2025-12-15 20:27:01.782674,DataScientist,gpt-4.1,48729,6254,54983,0.0
