timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-12-14 20:20:06.824766,LiteratureReviewExpert,gpt-4.1-mini,5779,234,6013,0.0
2025-12-14 20:20:23.525731,LiteratureReviewExpert,gpt-4.1-mini,18623,1231,19854,0.0
2025-12-14 20:20:37.963314,LiteratureReviewExpert,gpt-4.1-mini,22661,142,22803,0.0
2025-12-14 20:20:44.109345,LiteratureReviewExpert,gpt-4.1-mini,20172,778,20950,0.0
2025-12-14 20:21:11.043081,MathExpert,o3-mini,2067,583,2650,0.0
2025-12-14 20:21:45.843528,DiscoveryScientist,gpt-4.1,34349,3635,37984,139.9510898590088
2025-12-14 20:23:04.263193,NetworkScientist,gpt-4.1,16409,3419,19828,0.0
2025-12-14 20:23:20.180428,ModelerScientist,gpt-4.1,46746,4694,51440,0.0
2025-12-14 20:24:47.819620,ParameterScientist,gpt-4.1,36919,4455,41374,0.0
2025-12-14 20:27:12.087190,Vision Expert,gpt-4.1-mini,5411,1084,6495,0.0
2025-12-14 20:27:20.004990,SimulationScientist,gpt-4.1,56987,4991,61978,0.0
2025-12-14 20:28:15.638165,Vision Expert,gpt-4.1-mini,5364,1023,6387,0.0
2025-12-14 20:28:20.819629,DataExpert,gpt-4.1-mini,10382,1630,12012,0.0
2025-12-14 20:29:18.176486,DataScientist,gpt-4.1,27539,3470,31009,0.0
