timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-12-11 06:15:59.906394,MathExpert,o3-mini,2014,738,2752,0.0
2025-12-11 06:16:16.845388,LiteratureReviewExpert,gpt-4.1-mini,7912,231,8143,0.0
2025-12-11 06:16:34.904546,MathExpert,o3-mini,3163,557,3720,0.0
2025-12-11 06:16:59.537893,OnlineRetrieverExpert,gpt-4.1-mini,4813,929,5742,0.0
2025-12-11 06:17:45.321420,DiscoveryScientist,gpt-4.1,41265,3506,44771,163.2139708995819
2025-12-11 06:18:45.843253,NetworkScientist,gpt-4.1,15882,3127,19009,0.0
2025-12-11 06:18:52.539265,ModelerScientist,gpt-4.1,27736,2056,29792,0.0
2025-12-11 06:19:52.651973,ParameterScientist,gpt-4.1,22010,1898,23908,0.0
2025-12-11 06:21:28.080274,Vision Expert,gpt-4.1-mini,2283,327,2610,0.0
2025-12-11 06:21:37.865677,SimulationScientist,gpt-4.1,98570,5508,104078,0.0
2025-12-11 06:22:17.744239,Vision Expert,gpt-4.1-mini,2292,352,2644,0.0
2025-12-11 06:22:30.647675,DataExpert,gpt-4.1-mini,11323,1052,12375,0.0
2025-12-11 06:23:36.303989,DataScientist,gpt-4.1,25045,3562,28607,0.0
