timestamp,Agent-Name,LLM,request_tokens,response_tokens,total_tokens,time
2025-07-07 00:03:24.502861,OnlineRetrieverExpert,gpt-4.1-mini,5484,375,5859,0.0
2025-07-07 00:03:43.447732,MathExpert,o3-mini,3041,583,9523,0.0
2025-07-07 00:04:10.294534,DiscoveryScientist,gpt-4.1,21936,1554,30123,0.0
2025-07-07 00:04:39.256063,ModelerScientist,gpt-4.1,15977,329,52866,0.0
2025-07-07 00:21:57.098057,NetworkScientist,gpt-4.1,52224,2656,159841,0.0
2025-07-07 00:22:47.439958,ParameterScientist,gpt-4.1,77157,1228,209292,0.0
2025-07-07 00:26:49.536653,SimulationScientist,gpt-4.1,185177,6432,191609,0.0
2025-07-07 00:28:09.922802,DataExpert,gpt-4.1-mini,4525,1230,5755,0.0
2025-07-07 00:28:22.842639,DataExpert,gpt-4.1-mini,15269,2083,23107,0.0
2025-07-07 00:28:34.947135,DataExpert,gpt-4.1-mini,30972,3093,57172,0.0
2025-07-07 00:29:29.359625,DataScientist,gpt-4.1,20825,2723,47036,0.0
