timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-11-27 11:18:15.346609,MathExpert,o3-mini,6205,2395,8600,0.0
2025-11-27 11:18:29.455934,LiteratureReviewExpert,gpt-4.1-mini,3719,148,3867,0.0
2025-11-27 11:18:48.726596,MathExpert,o3-mini,5236,654,5890,0.0
2025-11-27 11:19:31.583229,DiscoveryScientist,gpt-4.1,40875,4245,45120,165.5447781085968
2025-11-27 11:20:11.397939,ModelerScientist,gpt-4.1,34253,1810,36063,0.0
2025-11-27 11:20:53.216648,NetworkScientist,gpt-4.1,51078,3459,54537,0.0
2025-11-27 11:22:49.627110,ParameterScientist,gpt-4.1,119292,5869,125161,0.0
2025-11-27 12:26:20.953262,Vision Expert,gpt-4.1-mini,15178,676,15854,0.0
2025-11-27 12:26:25.469138,SimulationScientist,gpt-4.1,187729,9236,196965,0.0
2025-11-27 12:27:20.321063,Vision Expert,gpt-4.1-mini,15231,1630,16861,0.0
2025-11-27 12:27:28.537997,DataExpert,gpt-4.1-mini,19001,2403,21404,0.0
2025-11-27 12:27:49.000919,DataExpert,gpt-4.1-mini,18652,882,40938,0.0
2025-11-27 12:28:29.789882,DataScientist,gpt-4.1,38738,3351,70120,0.0
