timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-11-16 16:30:25.324959,LiteratureReviewExpert,gpt-4.1-mini,4168,672,4840,0.0
2025-11-16 16:30:26.331054,LiteratureReviewExpert,gpt-4.1-mini,3673,833,4506,0.0
2025-11-16 16:30:30.988191,OnlineRetrieverExpert,gpt-4.1-mini,4025,1080,5105,0.0
2025-11-16 16:31:24.443816,MathExpert,o3,1721,1137,2858,0.0
2025-11-16 16:32:00.900298,DiscoveryScientist,gpt-4.1,17707,1414,19121,157.57518124580383
2025-11-16 16:32:36.370103,ModelerScientist,gpt-4.1,20894,1046,26316,0.0
2025-11-16 16:33:05.500249,NetworkScientist,gpt-4.1,22011,2730,30399,0.0
2025-11-16 16:34:08.265818,ParameterScientist,gpt-4.1,24782,2842,34156,0.0
2025-11-16 16:41:02.087276,Vision Expert,gpt-4.1-mini,25016,758,25774,0.0
2025-11-16 16:41:11.308273,SimulationScientist,gpt-4.1,89534,6708,96242,0.0
2025-11-16 16:42:13.303416,Vision Expert,gpt-4.1-mini,25029,992,26021,0.0
2025-11-16 16:42:47.936964,DataExpert,gpt-4.1-mini,14948,3546,18494,0.0
2025-11-16 16:43:41.139444,DataScientist,gpt-4.1,19240,2961,44544,0.0
