timestamp,Agent-Name,LLM,input_tokens,output_tokens,total_tokens,time
2025-11-26 12:46:37.425715,MathExpert,o3-mini,1733,821,2554,0.0
2025-11-26 12:47:06.566003,LiteratureReviewExpert,gpt-4.1-mini,3744,317,4061,0.0
2025-11-26 12:47:08.910391,LiteratureReviewExpert,gpt-4.1-mini,3945,492,4437,0.0
2025-11-26 12:47:14.560635,LiteratureReviewExpert,gpt-4.1-mini,7513,656,8169,0.0
2025-11-26 12:48:57.814068,MathExpert,o3-mini,3173,798,3971,0.0
2025-11-26 12:49:50.289231,MathExpert,o3-mini,4208,586,4794,0.0
2025-11-26 12:50:49.146953,DiscoveryScientist,gpt-4.1,48963,3927,52890,370.87349033355713
2025-11-26 12:51:30.879513,ModelerScientist,gpt-4.1,40174,2129,42303,0.0
2025-11-26 12:51:56.155853,NetworkScientist,gpt-4.1,38709,3391,42100,0.0
2025-11-26 12:53:25.886600,ParameterScientist,gpt-4.1,57724,3806,61530,0.0
2025-11-26 12:57:16.574266,Vision Expert,gpt-4.1-mini,11055,1502,12557,0.0
2025-11-26 12:57:22.688779,SimulationScientist,gpt-4.1,189362,8329,197691,0.0
2025-11-26 12:58:50.652805,Vision Expert,gpt-4.1-mini,11063,1772,12835,0.0
2025-11-26 12:59:38.393993,DataExpert,gpt-4.1-mini,93113,4383,97496,0.0
2025-11-26 13:01:03.147741,DataScientist,gpt-4.1,25306,2461,55057,0.0
