timestamp,Agent-Name,LLM,request_tokens,response_tokens,total_tokens,time
2025-07-08 23:23:44.842198,OnlineRetrieverExpert,gpt-4.1-mini,3864,351,4215,0.0
2025-07-08 23:24:20.981260,OnlineRetrieverExpert,gpt-4.1-mini,8030,677,8707,0.0
2025-07-08 23:25:05.302247,MathExpert,o3-mini,2496,672,8965,0.0
2025-07-08 23:25:35.698505,DiscoveryScientist,gpt-4.1,28658,1445,36173,0.0
2025-07-08 23:26:04.265233,ModelerScientist,gpt-4.1,10119,537,15362,0.0
2025-07-08 23:26:44.674329,NetworkScientist,gpt-4.1,14144,2160,22336,0.0
2025-07-08 23:27:18.349852,ParameterScientist,gpt-4.1,23459,1016,31342,0.0
2025-07-08 23:30:23.040612,SimulationScientist,gpt-4.1,105204,6767,111971,0.0
2025-07-08 23:31:39.326415,DataExpert,gpt-4.1-mini,3050,572,3622,0.0
2025-07-08 23:31:39.736112,DataExpert,gpt-4.1-mini,3153,571,7346,0.0
2025-07-08 23:31:40.655285,DataExpert,gpt-4.1-mini,3184,639,11169,0.0
2025-07-08 23:31:40.656653,DataExpert,gpt-4.1-mini,3503,570,15242,0.0
2025-07-08 23:31:41.081202,DataExpert,gpt-4.1-mini,3688,692,19622,0.0
2025-07-08 23:31:41.082657,DataExpert,gpt-4.1-mini,3118,659,23399,0.0
2025-07-08 23:32:35.139540,DataScientist,gpt-4.1,21887,2809,48816,0.0
