timestamp,Agent-Name,LLM,request_tokens,response_tokens,total_tokens,time
2025-07-06 17:42:10.274130,MathExpert,o3-mini,1314,690,3921,0.0
2025-07-06 17:42:10.820287,OnlineRetrieverExpert,gpt-4.1-mini,3300,317,3617,0.0
2025-07-06 17:42:15.268218,OnlineRetrieverExpert,gpt-4.1-mini,4340,474,4814,0.0
2025-07-06 17:42:17.785658,LiteratureRetrieverExpert,gpt-4.1-mini,2156,1350,3506,0.0
2025-07-06 17:42:24.171240,LiteratureRetrieverExpert,gpt-4.1-mini,1980,1605,3585,0.0
2025-07-06 17:42:53.137449,DiscoveryScientist,gpt-4.1,11038,1712,19289,0.0
2025-07-06 17:43:23.351750,ModelerScientist,gpt-4.1,8648,605,13120,0.0
2025-07-06 17:44:25.180623,NetworkScientist,gpt-4.1,36041,5214,45787,0.0
2025-07-06 17:45:09.227996,ParameterScientist,gpt-4.1,23191,2015,30846,0.0
2025-07-06 17:49:01.055044,SimulationScientist,gpt-4.1,91695,6189,97884,0.0
2025-07-06 17:50:10.646290,DataExpert,gpt-4.1-mini,4099,1063,5162,0.0
2025-07-06 17:50:11.770722,DataExpert,gpt-4.1-mini,4112,1127,10401,0.0
2025-07-06 17:50:13.623832,DataExpert,gpt-4.1-mini,3973,1261,15635,0.0
2025-07-06 17:50:14.194326,DataExpert,gpt-4.1-mini,4236,1249,21120,0.0
2025-07-06 17:50:17.608537,DataExpert,gpt-4.1-mini,5858,1457,28435,0.0
2025-07-06 17:50:32.296377,DataExpert,gpt-4.1-mini,14108,2285,44828,0.0
2025-07-06 17:51:02.476489,DataScientist,gpt-4.1,19766,3278,44994,0.0
